Category: Actor | Topics: 20
Category: ConveyorSystem | Topics: 0
Category: Country | Topics: 20
Category: Crater | Topics: 0
Category: CricketGround | Topics: 0
Category: Cricketer | Topics: 20
Category: Criminal | Topics: 15
Category: Crustacean | Topics: 3
Category: Cycad | Topics: 0
Category: CyclingCompetition | Topics: 0
Category: CyclingRace | Topics: 2
Category: Cyclist | Topics: 0
Category: DTMRacer | Topics: 0
Category: Dancer | Topics: 20
Category: DartsPlayer | Topics: 0
Category: Deity | Topics: 20
Category: Deputy | Topics: 2
Category: DigitalCamera | Topics: 0
Category: Disease | Topics: 20
Category: DisneyCharacter | Topics: 0
Category: District | Topics: 20
Category: Dog | Topics: 0
Category: EducationalInstitution | Topics: 20
Category: Egyptologist | Topics: 0
Category: Election | Topics: 4
Category: ElectionDiagram | Topics: 0
Category: Embryology | Topics: 2
Category: Engine | Topics: 5
Category: Engineer | Topics: 20
Category: Entomologist | Topics: 11
Category: Enzyme | Topics: 1
Category: Escalator | Topics: 0
Category: Eukaryote | Topics: 20
Category: EurovisionSongContestEntry | Topics: 0
Category: Farmer | Topics: 5
Category: FashionDesigner | Topics: 2
Category: Fencer | Topics: 0
Category: Fern | Topics: 0
Category: FictionalCharacter | Topics: 20
Category: FilmFestival | Topics: 2
Category: Fish | Topics: 20
Category: FloweringPlant | Topics: 3
Category: FormulaOneRacer | Topics: 20
Category: Fungus | Topics: 6
Category: GaelicGamesPlayer | Topics: 0
Category: Galaxy | Topics: 0
Category: GatedCommunity | Topics: 0
Category: Gene | Topics: 0
Category: GeopoliticalOrganisation | Topics: 0
Category: Ginkgo | Topics: 0
Category: GivenName | Topics: 0
Category: Glacier | Topics: 0
Category: Gnetophytes | Topics: 0
Category: GolfCourse | Topics: 0
Category: GolfPlayer | Topics: 12
Category: Governor | Topics: 20
Category: GrandPrix | Topics: 0
Category: Case | Topics: 3
Category: ChristianDoctrine | Topics: 0
Category: CollectionOfValuables | Topics: 0
Category: ControlledDesignationOfOriginWine | Topics: 0
Category: Document | Topics: 20
Category: Fashion | Topics: 2
Category: FieldHockeyLeague | Topics: 0
Category: GolfLeague | Topics: 0
Category: Comic | Topics: 20
Category: CricketTeam | Topics: 1
Category: CrossCountrySkier | Topics: 0
Category: Curler | Topics: 0
Category: CyclingTeam | Topics: 0
Category: Database | Topics: 7
Category: Drama | Topics: 20
Category: FigureSkater | Topics: 0
Category: FillingStation | Topics: 0
Category: Film | Topics: 20
Category: FootballLeagueSeason | Topics: 2
Category: FormulaOneRacing | Topics: 0
Category: FormulaOneTeam | Topics: 2
Category: GeologicalPeriod | Topics: 0
Category: Globularswarm | Topics: 0
Category: GolfTournament | Topics: 1
Category: Colour | Topics: 5
Category: Demographics | Topics: 0
Category: Food | Topics: 20
Category: CelestialBody | Topics: 20
Category: ChartsPlacements | Topics: 0
Category: ChemicalSubstance | Topics: 20
Category: Currency | Topics: 15
Category: Depth | Topics: 0
Category: Device | Topics: 20
Category: Diploma | Topics: 0
Category: Drug | Topics: 20
Category: EthnicGroup | Topics: 20
Category: Event | Topics: 20
Category: Flag | Topics: 1
Category: GeneLocation | Topics: 0
Category: GraveMonument | Topics: 0
Category: Guitar | Topics: 2
Category: Gymnast | Topics: 0
Category: HistoricalCountry | Topics: 0
Category: HistoricalDistrict | Topics: 0
Category: Image | Topics: 0
Category: InformationAppliance | Topics: 2
Category: Instrument | Topics: 20
Category: LawFirm | Topics: 0
Category: Lawyer | Topics: 20
Category: LiteraryGenre | Topics: 0
Category: Manga | Topics: 20
Category: Manhua | Topics: 0
Category: Manhwa | Topics: 0
Category: Memorial | Topics: 1
Category: MicroRegion | Topics: 0
Category: MilitaryStructure | Topics: 0
Category: Mill | Topics: 0
Category: Mine | Topics: 13
Category: Mineral | Topics: 16
Category: Monument | Topics: 0
Category: MovieDirector | Topics: 0
Category: MovingImage | Topics: 0
Category: Municipality | Topics: 20
Category: MusicDirector | Topics: 0
Category: NationalAnthem | Topics: 1
Category: NaturalPlace | Topics: 20
Category: NobleFamily | Topics: 0
Category: NoteworthyPartOfBuilding | Topics: 0
Category: Novel | Topics: 20
Category: Ocean | Topics: 0
Category: Organ | Topics: 20
Category: OrganisationMember | Topics: 0
Category: Painting | Topics: 0
Category: Parish | Topics: 1
Category: Park | Topics: 11
Category: PersonalEvent | Topics: 0
Category: Grape | Topics: 3
Category: GridironFootballPlayer | Topics: 19
Category: Guitarist | Topics: 20
Category: HandballPlayer | Topics: 0
Category: HighDiver | Topics: 0
Category: Historian | Topics: 20
Category: HistoricBuilding | Topics: 3
Category: HistoricPlace | Topics: 0
Category: HollywoodCartoon | Topics: 0
Category: HorseRider | Topics: 0
Category: HorseTrainer | Topics: 0
Category: Hospital | Topics: 2
Category: Hotel | Topics: 4
Category: HumanGene | Topics: 0
Category: HumanGeneLocation | Topics: 0
Category: Humorist | Topics: 20
Category: Infrastructure | Topics: 20
Category: Insect | Topics: 20
Category: Instrumentalist | Topics: 0
Category: Jockey | Topics: 0
Category: Journalist | Topics: 20
Category: Judge | Topics: 20
Category: LacrossePlayer | Topics: 0
Category: Lake | Topics: 9
Category: LaunchPad | Topics: 0
Category: LegalCase | Topics: 3
Category: Library | Topics: 4
Category: Library | Topics: 4
Category: Library | Topics: 4
Category: Library | Topics: 4
Category: LifeCycleEvent | Topics: 0
Category: Ligament | Topics: 0
Category: Linguist | Topics: 20
Category: Lipid | Topics: 1
Category: Lock | Topics: 0
Category: Locomotive | Topics: 0
Category: LunarCrater | Topics: 0
Category: Lymph | Topics: 0
Category: Mammal | Topics: 20
Category: MartialArtist | Topics: 1
Category: MemberResistanceMovement | Topics: 0
Category: MilitaryAircraft | Topics: 0
Category: MilitaryPerson | Topics: 20
Category: MilitaryVehicle | Topics: 1
Category: MobilePhone | Topics: 0
Category: Model | Topics: 20
Category: Mollusca | Topics: 4
Category: Monarch | Topics: 20
Category: MotocycleRacer | Topics: 0
Category: Motorcycle | Topics: 0
Category: MotorcycleRider | Topics: 0
Category: MotorsportRacer | Topics: 20
Category: MouseGene | Topics: 0
Category: MouseGeneLocation | Topics: 0
Category: MovieGenre | Topics: 0
Category: Murderer | Topics: 5
Category: Muscle | Topics: 8
Category: Museum | Topics: 20
Category: MusicGenre | Topics: 20
Category: MusicalArtist | Topics: 20
Category: MythologicalFigure | Topics: 0
Category: NarutoCharacter | Topics: 0
Category: NationalCollegiateAthleticAssociationAthlete | Topics: 0
Category: NationalFootballLeagueSeason | Topics: 0
Category: NaturalEvent | Topics: 0
Category: Nerve | Topics: 1
Category: NetballPlayer | Topics: 0
Category: NobelPrize | Topics: 0
Category: Noble | Topics: 20
Category: OfficeHolder | Topics: 20
Category: On-SiteTransportation | Topics: 0
Category: Opera | Topics: 12
Category: Organisation | Topics: 20
Category: Orphan | Topics: 2
Category: OverseasDepartment | Topics: 0
Category: Painter | Topics: 20
Category: Philosopher | Topics: 20
Category: Group | Topics: 20
Category: HandballLeague | Topics: 0
Category: HistoricalPeriod | Topics: 0
Category: HistoricalProvince | Topics: 0
Category: HistoricalRegion | Topics: 0
Category: HistoricalSettlement | Topics: 0
Category: IceHockeyLeague | Topics: 0
Category: Ideology | Topics: 0
Category: InlineHockeyLeague | Topics: 0
Category: LacrosseLeague | Topics: 0
Category: Letter | Topics: 10
Category: LightNovel | Topics: 0
Category: LineOfFashion | Topics: 0
Category: Magazine | Topics: 20
Category: Marriage | Topics: 0
Category: MathematicalConcept | Topics: 0
Category: Meeting | Topics: 20
Category: MixedMartialArtsLeague | Topics: 0
Category: Monastery | Topics: 4
Category: Mosque | Topics: 0
Category: MotorcycleRacingLeague | Topics: 0
Category: MountainPass | Topics: 0
Category: MountainRange | Topics: 8
Category: MusicComposer | Topics: 0
Category: Newspaper | Topics: 19
Category: PaintballLeague | Topics: 0
Category: PeriodicalLiterature | Topics: 20
Category: PhilosophicalConcept | Topics: 0
Category: GreenAlga | Topics: 0
Category: HandballTeam | Topics: 0
Category: HockeyTeam | Topics: 8
Category: HorseRace | Topics: 0
Category: HorseRiding | Topics: 0
Category: Host | Topics: 20
Category: HotSpring | Topics: 0
Category: IceHockeyPlayer | Topics: 17
Category: Installment | Topics: 0
Category: Intercommunality | Topics: 0
Category: InternationalFootballLeagueEvent | Topics: 0
Category: Island | Topics: 20
Category: Legislature | Topics: 20
Category: Lieutenant | Topics: 1
Category: Lighthouse | Topics: 0
Category: Locality | Topics: 0
Category: Medician | Topics: 0
Category: MemberOfParliament | Topics: 2
Category: MetroStation | Topics: 0
Category: MilitaryConflict | Topics: 20
Category: MilitaryUnit | Topics: 20
Category: MixedMartialArtsEvent | Topics: 0
Category: Moss | Topics: 0
Category: MotorRace | Topics: 0
Category: MotorsportSeason | Topics: 0
Category: Mountain | Topics: 20
Category: MovingWalkway | Topics: 0
Category: MultiVolumePublication | Topics: 0
Category: MusicFestival | Topics: 0
Category: Musical | Topics: 20
Category: MusicalWork | Topics: 20
Category: NCAATeamSeason | Topics: 0
Category: NascarDriver | Topics: 9
Category: NationalFootballLeagueEvent | Topics: 0
Category: NationalSoccerClub | Topics: 0
Category: NaturalRegion | Topics: 0
Category: Non-ProfitOrganisation | Topics: 2
Category: NordicCombined | Topics: 0
Category: NuclearPowerStation | Topics: 0
Category: OldTerritory | Topics: 0
Category: OlympicEvent | Topics: 0
Category: OlympicResult | Topics: 0
Category: Olympics | Topics: 3
Category: Openswarm | Topics: 0
Category: Parliament | Topics: 4
Category: PeriodOfArtisticStyle | Topics: 0
Category: LinkTitle | Topics: 0
Category: List | Topics: 6
Category: Medicine | Topics: 20
Category: GrossDomesticProduct | Topics: 0
Category: GrossDomesticProductPerCapita | Topics: 0
Category: Holiday | Topics: 20
Category: HumanDevelopmentIndex | Topics: 0
Category: Imdb | Topics: 0
Category: Mayor | Topics: 12
Category: MeanOfTransportation | Topics: 20
Category: Media | Topics: 0
Category: PenaltyShootOut | Topics: 0
Category: PersonFunction | Topics: 0
Category: PoliticalParty | Topics: 20
Category: PopulatedPlace | Topics: 20
Category: Port | Topics: 11
Category: Presenter | Topics: 15
Category: Producer | Topics: 20
Category: ProtectedArea | Topics: 2
Category: Province | Topics: 0
Category: PublicTransitSystem | Topics: 1
Category: Pyramid | Topics: 0
Category: Racecourse | Topics: 0
Category: RadioStation | Topics: 5
Category: Referee | Topics: 0
Category: Reference | Topics: 0
Category: ResearchProject | Topics: 0
Category: RestArea | Topics: 0
Category: RouteOfTransportation | Topics: 20
Category: Satellite | Topics: 17
Category: Sculpture | Topics: 0
Category: Singer | Topics: 20
Category: Single | Topics: 20
Category: SiteOfSpecialScientificInterest | Topics: 0
Category: SnookerPlayer | Topics: 1
Category: SocietalEvent | Topics: 20
Category: Sound | Topics: 1
Category: Sport | Topics: 20
Category: SportsLeague | Topics: 13
Category: SportsManager | Topics: 20
Category: SportsTeamMember | Topics: 0
Category: Station | Topics: 20
Category: StillImage | Topics: 0
Category: Stream | Topics: 20
Category: Street | Topics: 3
Category: SubMunicipality | Topics: 0
Category: Swimmer | Topics: 2
Category: TableTennisPlayer | Topics: 0
Category: TeamMember | Topics: 0
Category: TelevisionDirector | Topics: 0
Category: TelevisionStation | Topics: 20
Category: Territory | Topics: 0
Category: TheatreDirector | Topics: 0
Category: Photographer | Topics: 4
Category: Planet | Topics: 0
Category: Plant | Topics: 20
Category: PlayboyPlaymate | Topics: 0
Category: PokerPlayer | Topics: 0
Category: PoliticalFunction | Topics: 0
Category: Politician | Topics: 20
Category: PoliticianSpouse | Topics: 0
Category: Polysaccharide | Topics: 0
Category: Pope | Topics: 20
Category: PowerStation | Topics: 0
Category: Prefecture | Topics: 8
Category: President | Topics: 20
Category: Priest | Topics: 20
Category: PrimeMinister | Topics: 20
Category: Prison | Topics: 0
Category: Profession | Topics: 11
Category: ProgrammingLanguage | Topics: 15
Category: Protein | Topics: 20
Category: Psychologist | Topics: 17
Category: RaceHorse | Topics: 0
Category: RacingDriver | Topics: 20
Category: RadioHost | Topics: 0
Category: RecordLabel | Topics: 20
Category: RecordOffice | Topics: 0
Category: Regency | Topics: 0
Category: Region | Topics: 20
Category: Religious | Topics: 5
Category: ReligiousBuilding | Topics: 2
Category: ReligiousOrganisation | Topics: 0
Category: Reptile | Topics: 10
Category: Restaurant | Topics: 0
Category: Rocket | Topics: 1
Category: RocketEngine | Topics: 0
Category: RollerCoaster | Topics: 0
Category: RomanEmperor | Topics: 0
Category: Rower | Topics: 0
Category: Royalty | Topics: 20
Category: RugbyPlayer | Topics: 0
Category: Saint | Topics: 20
Category: Sales | Topics: 0
Category: SambaSchool | Topics: 0
Category: Scientist | Topics: 20
Category: Sculptor | Topics: 9
Category: Sea | Topics: 2
Category: Senator | Topics: 20
Category: SerialKiller | Topics: 0
Category: Settlement | Topics: 20
Category: Ship | Topics: 4
Category: ShoppingMall | Topics: 0
Category: Shrine | Topics: 0
Category: SkiArea | Topics: 0
Category: SkiResort | Topics: 0
Category: Skyscraper | Topics: 4
Category: SoapCharacter | Topics: 0
Category: SoccerPlayer | Topics: 20
Category: SolarEclipse | Topics: 0
Category: Song | Topics: 9
Category: SpaceShuttle | Topics: 1
Category: SpaceStation | Topics: 0
Category: Spacecraft | Topics: 3
Category: SpeedwayRider | Topics: 0
Category: SportFacility | Topics: 20
Category: SportsTeam | Topics: 20
Category: Square | Topics: 0
Category: SquashPlayer | Topics: 0
Category: Star | Topics: 13
Category: State | Topics: 20
Category: StormSurge | Topics: 0
Category: SupremeCourtOfTheUnitedStatesCase | Topics: 3
Category: Surfer | Topics: 0
Category: Surname | Topics: 0
Category: Swarm | Topics: 0
Category: TelevisionHost | Topics: 0
Category: TelevisionPersonality | Topics: 0
Category: TennisPlayer | Topics: 20
Category: TermOfOffice | Topics: 0
Category: Play | Topics: 20
Category: PlayWright | Topics: 0
Category: PoliticalConcept | Topics: 0
Category: PoloLeague | Topics: 0
Category: Project | Topics: 0
Category: RadioControlledRacingLeague | Topics: 0
Category: RailwayLine | Topics: 20
Category: Resume | Topics: 0
Category: River | Topics: 20
Category: RoadJunction | Topics: 0
Category: RugbyLeague | Topics: 0
Category: ScientificConcept | Topics: 0
Category: SnookerChamp | Topics: 0
Category: SnookerWorldRanking | Topics: 0
Category: SoccerLeague | Topics: 6
Category: SoftballLeague | Topics: 0
Category: SongWriter | Topics: 0
Category: SpeedwayLeague | Topics: 0
Category: SportsEvent | Topics: 8
Category: SportsTeamSeason | Topics: 2
Category: StatedResolution | Topics: 0
Category: Synagogue | Topics: 0
Category: SystemOfLaw | Topics: 0
Category: Taxon | Topics: 0
Category: TelevisionEpisode | Topics: 0
Category: TennisLeague | Topics: 0
Category: Theatre | Topics: 0
Category: TheologicalConcept | Topics: 0
Category: Poem | Topics: 0
Category: Poet | Topics: 20
Category: PrehistoricalPeriod | Topics: 0
Category: Professor | Topics: 20
Category: ProtohistoricalPeriod | Topics: 0
Category: Quote | Topics: 0
Category: Race | Topics: 3
Category: RaceTrack | Topics: 0
Category: RadioProgram | Topics: 0
Category: RailwayStation | Topics: 11
Category: RailwayTunnel | Topics: 0
Category: RallyDriver | Topics: 0
Category: Rebellion | Topics: 0
Category: Road | Topics: 20
Category: RoadTunnel | Topics: 0
Category: RugbyClub | Topics: 7
Category: ScreenWriter | Topics: 0
Category: Skater | Topics: 0
Category: Ski_jumper | Topics: 0
Category: Skier | Topics: 0
Category: SoccerClub | Topics: 20
Category: SoccerClubSeason | Topics: 0
Category: SoccerLeagueSeason | Topics: 0
Category: SoccerManager | Topics: 20
Category: SoccerTournament | Topics: 1
Category: SpaceMission | Topics: 0
Category: SpeedSkater | Topics: 0
Category: SpeedwayTeam | Topics: 0
Category: Stadium | Topics: 20
Category: SumoWrestler | Topics: 0
Category: Tax | Topics: 0
Category: TelevisionSeason | Topics: 15
Category: TelevisionShow | Topics: 20
Category: Temple | Topics: 0
Category: TennisTournament | Topics: 0
Category: Tournament | Topics: 7
Category: RouteStop | Topics: 0
Category: Polyhedron | Topics: 0
Category: Population | Topics: 0
Category: PublicService | Topics: 0
Category: Species | Topics: 20
Category: SportCompetitionResult | Topics: 0
Category: SportsSeason | Topics: 2
Category: Statistic | Topics: 3
Category: TimePeriod | Topics: 20
Category: TopicalConcept | Topics: 20
Category: Tower | Topics: 1
Category: Town | Topics: 20
Category: TrackList | Topics: 0
Category: TradeUnion | Topics: 0
Category: Treadmill | Topics: 0
Category: Tunnel | Topics: 0
Category: UndergroundJournal | Topics: 0
Category: Valley | Topics: 2
Category: VideoGame | Topics: 20
Category: VideogamesLeague | Topics: 0
Category: Village | Topics: 6
Category: Volcano | Topics: 3
Category: VolleyballLeague | Topics: 0
Category: WaterTower | Topics: 0
Category: Watermill | Topics: 0
Category: WindMotor | Topics: 0
Category: Windmill | Topics: 0
Category: WorldHeritageSite | Topics: 3
Category: WrittenWork | Topics: 20
Category: Train | Topics: 3
Category: University | Topics: 20
Category: Vein | Topics: 1
Category: Venue | Topics: 20
Category: Vicar | Topics: 1
Category: VicePresident | Topics: 12
Category: VicePrimeMinister | Topics: 0
Category: Vodka | Topics: 0
Category: VoiceActor | Topics: 0
Category: VolleyballCoach | Topics: 0
Category: VolleyballPlayer | Topics: 0
Category: WaterPoloPlayer | Topics: 0
Category: WaterRide | Topics: 0
Category: WaterwayTunnel | Topics: 0
Category: Weapon | Topics: 13
Category: Website | Topics: 5
Category: Wine | Topics: 0
Category: WineRegion | Topics: 0
Category: Winery | Topics: 0
Category: WinterSportPlayer | Topics: 17
Category: WomensTennisAssociationTournament | Topics: 0
Category: Wrestler | Topics: 20
Category: WrestlingEvent | Topics: 0
Category: Writer | Topics: 20
Category: Year | Topics: 1
Category: YearInSpaceflight | Topics: 0
Category: Zoo | Topics: 0
Category: UnitOfWork | Topics: 3
Category: Unknown | Topics: 0
Category: Work | Topics: 20
